Sentence,Label
"
Let's start over.  I'm not arguing about who is the better goaltender.  I'd
take Soderstrom right now.  What I am saying is that Roussel can be a #1
netminder.  The GAA difference is less than half a goal per game (less than
that after last night), their save percentages are close, and their records
are similar.  And with that, I just don't see how you can label Roussel as
the most disappointing player on the Flyers this season.

You say Soderstrom played against better competition.  That may very well
be, but there is no way of knowing how Roussel would have performed in
those games.  Besides, against the better scoring teams like Pittsburgh,
the defense is more keyed up than they are against San Jose.


But I'm not just judging Roussel on that game alone.  I've seen him play
for the past two seasons in Philly and before that in Hershey.  It's just
my opinion, but I think he's got what it takes.  Of course, I thought that
about Mark LaForest, too.  But I never did about Wendell Young.  So I'm
batting .500 in judging Hershey talent since the Hextall-era.

As for the Rangers game, you can say he was saved by a mistake by the
offensive player if you like.  But Rou had his leg in position to make the
save.  If he didn't, it wouldn't have mattered if the Rangers player didn't
get the puck up or not.  It would have been a goal.  On a breakaway that's
what the goalie wants to do, take away as much as possible and force the
shooter to beat him.


I seem to remember Roussel doing an excellent job against Pittsurgh on
opening night to give the Flyers a tie against the two-time defending
champs.  And not to take anything away from Soderstrom because he was
senational in that game agains the Habs.  But you can't tell me that a
Montreal player had an open net to shoot at some point during that game
and just flat out missed it.  Mistakes, both on offense and defense are
part of the game.  Or there'd never be shutouts.

Anyway, I'm happy the Flyers have both Soderstrom and Roussel and
I'm not going to argue about it anymore.  Besides, with the current
7-game winning streak and expectations soaring for next year, I
don't want to piss you off to the point that you don't sell me any
tickets next season:-).",-1
"
Question:
If a team uses 40 players in a season do you merely divide the total +/-
by 40?  If so, a player who plays in only 1 game is considered equally
valuable as a player who plays in all of them.


Since the standard deviation for each team is different, I am unsure how 
""transferable"" between teams that these stats are.  Shouldn't the average
standard deviation in the league be used?

I am interested in seeing each method.
But I still think that mine is the best. If for no other reason than familiarity.",-1
"
You can't be serious!  I and many of my colleagues have not received any
bad e-mails from Roger, in fact, Roger happens to have answered most if not
all of my hockey questions and curiosities, so before you start flaming
at me or Roger, better re-consider your nasty attitude towards Roger and the
like!

",-1
"
     You know, I never really appreciated them before!

",-1
"
I'd personally prefer Buffalo-Boston, as a birthday gift from ESPN,
but I don't think the folks at ESPN will accomodate that for me ;-)
ESPN has this inexplicable affinity for the Patrick division, it
seems.  
",-1
"






Is the answer as simple as that you dislike russians???




And where would canadian hockey be today without the europeans?? Dont say
that the european influence on the league has been all bad for the game.
I mean, look at the way you play these days. Less fights and more hockey.
Imho, canadian hockey has had a positive curve of development since the
70's when the game was more brute than beauty......


Oh, look!! You don't like Finns either....

Too bad almost all of you northamericans originates from europe.....

Hmmm... And what kind of a name is Rauser. Doesn't sound very ""canadian"" to
me. ;-)",-1
"Did you ever notice how many people on the net have trouble in the
comparitively easy task of spelling the nick name of our fair city?  I
never knew that Philadelphia becomes Phillie or Philli when spoken of.  So
for all you who don't know yet here's a _little_ clue.

	IT IS SPELLED:       P H I L L Y

OK...thank you.

Oh yeah, about that drug-induced trade rumor....I don't think the Sniders
are that stupid...the rumor you should be looking into is Mike Keenan
coming back to coach the FLYERS.

later

Mike

-- 
Mike Cornell     | ""There are a great many people in the country today who,
mac18@po.cwru.edu|  through no fault of their own, are sane."" -Monty Python",-1
"You're right ... I'm sick of seeing all those white guys on skates
myself ... the Vancouver Canucks should be half women, and overall 
one-third Oriental.



(-; (-; (-; (-; (-; (-; 

And I'll gladly volunteer myself for the overage draft. (-;

gld",-1
"
I think the three-headed GM's guiding principle was to keep veterans
in favor of youngsters only if they offered a ""significant"" advantage.
At the end of last season, the contracts of several veterans with somewhat
maginal contributions (Fenton, Bozek, Anderson, and a couple others I
can't remember) were bought out. The idea was that youngsters could
play almost as well, and had the potential to improve where these
older guys did not. 
And they traded Mullen, because he wanted to go, not because he
wasn't good enough, but I think they were a bit too optimistic
in thinking they could make up for his contributions.
An example from this season, Skriko was brought in on a trial basis
but not kept, because of his age. I thought he was a decent
contributor worth keeping around.

The youth movement has its advantages; look at Gaudreau who
might still be in KC if more veterans had been kept around. But
you have to find the right balance.",-1
"

Yes, it's a shame that the NHL lost a fine team in one of the best
hockey markets in the country.  Being a North Stars fan, it is sad to
see all of the tradition of the last 26 years get thrown into oblivion
at the hands of a truly crappy owner.

Hopefully the NHL will install an expansion franchise in the Twin Cities
within the next five years.  Even if this is the case, a lot has been
lost in the North Stars move...",-1
"Here are the standings after game 1 of each of the divisional semi-finals.
(Hey, look who's #4!)  I'll try to post the standings after ""each game""
(i.e. every two days).

I managed to recover the email lost up to Saturday night, so all I'm missing
is mail that arrived between early Saturday morning and Sunday afternoon.
Many people re-sent their teams, so you may have received two replies back
from me.  If your team name is not on this list, please resend your team
to me and I'll see what I can do.  Any kind of ""proof"" you sent it on the
weekend will help your case.  :-)  Seriously, this is only a fun pool and
I trust each person to be honest.

Again, sorry for any inconvenience, and I hope the pool is still fun for you.

	- Andrew


USENET Hockey Playoff Draft Standings

Posn	Team				Pts	Rem	Last Posn

1.	Sneddon Scorers                 43	25	(--)
2.	The Borg                        42	25	(--)
	Dave Wessels                    42	25	(--)
4.	Bruce's Rented Mules            41	25	(--)
	Great Expectations              41	25	(--)
	Hurricane Andrew                41	25	(--)
	Jerky Boys                      41	24	(--)
	Homesick Hawaiian               41	25	(--)
9.	give you money monday           40	25	(--)
	Einstien's Punk Band            40	25	(--)
11.	Zipper Heads                    39	25	(--)
	Tapio Repo                      39	25	(--)
	Detroit Homeboy                 39	25	(--)
	the dead ducks                  39	25	(--)
	Mike Burger                     39	25	(--)
	Test Department                 39	25	(--)
	Team Elvis                      39	25	(--)
	Craig team                      39	25	(--)
19.	Skate or Die                    38	25	(--)
	Debbie Bowles                   38	25	(--)
	Fuzzfaces Galore                38	25	(--)
	suds                            38	25	(--)
	The Campi Machine               38	25	(--)
	zachmans wingers                38	25	(--)
	Sean Forbes                     38	25	(--)
	Threepeat                       38	25	(--)
	Flamming Senators               38	25	(--)
	Team Awesome                    38	25	(--)
	A.P. BURY                       38	25	(--)
	PURDUE RICKS PENS               38	25	(--)
	GB Flyers                       38	25	(--)
	Seppo Kemppainen                38	25	(--)
33.	Paige Faults                    37	25	(--)
	weenies                         37	25	(--)
	chris roney                     37	25	(--)
	Rednecks from Hockey Hell       37	25	(--)
	Dog's Hog's                     37	25	(--)
	Mind Sweepers                   37	25	(--)
	Teem Kanada                     37	25	(--)
	Northern Lights                 37	25	(--)
	Fugazi                          37	25	(--)
	Delaware Destroyers             37	25	(--)
	Mopar Muscle Men                37	25	(--)
	Lance Hill The Boston Bruins Fa 37	25	(--)
	garryola                        37	25	(--)
	Oakville Brothers               37	25	(--)
	Sam & His Dogs                  37	25	(--)
	Cluster Buster                  37	24	(--)
	Jan Stein                       37	25	(--)
	frank's little wankers          37	25	(--)
	Milton Keynes Kings             37	25	(--)
	The promise land                37	25	(--)
	Rangers Of Destiny              37	25	(--)
54.	New Zealand Leafs               36	25	(--)
	Loaded Weapons                  36	25	(--)
	Bloom County All-Stars          36	25	(--)
	Robarts Research Rebels         36	25	(--)
	Tiger Chung Lees                36	25	(--)
	goddess of fermentation         36	25	(--)
	make beliefs                    36	25	(--)
	Rob Del Mundo                   36	25	(--)
	Heikki Salmi                    36	25	(--)
	The Underwriters                36	25	(--)
	Muller n Walker                 36	25	(--)
	Controversy Warriors            36	25	(--)
	Bjorkloven                      36	25	(--)
	Norway Killerwhales             36	25	(--)
	Holsteins SFB                   36	25	(--)
	buffalo soldiers                36	25	(--)
	Lemon Pepper Grizzly Bears      36	25	(--)
	FRACK ATTACK                    36	25	(--)
	Houdini's Magicians             36	25	(--)
	The ^&#@$#$% Rangers of 1940    36	24	(--)
	Rangers Blow                    36	25	(--)
75.	Dave Hiebert                    35	25	(--)
	Yan Loke                        35	25	(--)
	Canadian Gladiators             35	25	(--)
	littlest giants                 35	25	(--)
	Alf's All-Stars                 35	25	(--)
	The Ice Kickers                 35	25	(--)
	Beer Makes Me An Expert         35	25	(--)
	Force 25                        35	25	(--)
	Mr Creosote                     35	25	(--)
	The Goobmeister                 35	25	(--)
	The Mulberry Maulers            35	25	(--)
	Rev's Rebels                    35	25	(--)
	BOSSE                           35	25	(--)
	Zippety Doodah                  35	25	(--)
	Kramer George and Jerry         35	25	(--)
	DehraDun Maawalis               35	25	(--)
	Sludge                          35	25	(--)
	j's rock'em sock'ems            35	25	(--)
	brians bloodletters             35	25	(--)
	Grant Marven                    35	25	(--)
	Arctic Circles                  35	25	(--)
	all the kane's men              35	25	(--)
	trevor's triumph                35	25	(--)
	Mark And Steve Dreaming Again   35	25	(--)
	Goaldingers                     35	25	(--)
	Bjoern Leaguen                  35	25	(--)
	Habs Playing Golf               35	25	(--)
102.	Shigella                        34	25	(--)
	New Jersey Rob                  34	25	(--)
	Steves Superstars               34	25	(--)
	Big Bay Bombers                 34	25	(--)
	Doug Bowles                     34	25	(--)
	Neural Netters                  34	25	(--)
	LIPPE                           34	25	(--)
	Lets Go Pandas                  34	25	(--)
	Les Raisins                     34	25	(--)
	Daves knee jerk picks           34	25	(--)
	Monica Loke                     34	25	(--)
	Jason team                      34	25	(--)
	RENEB                           34	25	(--)
	Schott Shooters                 34	25	(--)
	Gilles Carmel                   34	25	(--)
	Lewey's Lakers                  34	25	(--)
	smithw                          34	25	(--)
	East City Jokers                34	25	(--)
	Daryl Turner                    34	25	(--)
	Doug Mraz                       34	25	(--)
	Skriko Wolves                   34	25	(--)
	IceMachine                      34	25	(--)
	Lamp Lighters                   34	25	(--)
	On Thin Ice                     34	25	(--)
	JOE'S A CRAK HEAD               34	25	(--)
127.	Samuel Lau (Calgary, Alberta)   33	25	(--)
	Comfortably Numb                33	25	(--)
	Reksa fans of Oulu              33	25	(--)
	Gail Hiebert                    33	25	(--)
	gee man                         33	25	(--)
	But Wait Theres more            33	25	(--)
	marcs maulers                   33	25	(--)
	Danielle Leblanc                33	25	(--)
	Bobby Schmautz Fan Club         33	25	(--)
	Ottawa Bearcats                 33	25	(--)
	Boops Bets                      33	25	(--)
	triple X                        33	25	(--)
	Timo Ojala                      33	25	(--)
	Flying pigs                     33	25	(--)
141.	The Eradicators                 32	25	(--)
	Van Isle Colonists              32	25	(--)
	Commitments                     32	25	(--)
	bure's blur                     32	25	(--)
	Great Scott                     32	25	(--)
	weasels                         32	25	(--)
	Tequila Shooters                32	25	(--)
	Whiters                         32	25	(--)
	Frasses Faceplants              32	25	(--)
	High Stickers                   32	25	(--)
	Mak Paranjape                   32	25	(--)
	Lord Stanley's Favourites       32	25	(--)
	San Jose Mahi Mahi              32	25	(--)
	Oz                              32	25	(--)
	E.I.S                           32	25	(--)
	Mann Mariners                   32	24	(--)
	JFZ Dream Team                  32	25	(--)
	Stacey Ross                     32	25	(--)
	Louisiana Psycho Killers        32	25	(--)
	La Coupe Stainless              32	25	(--)
161.	fighting amish                  31	25	(--)
	Evan Pritchard                  31	25	(--)
	Stanias Stars                   31	25	(--)
	Pens Dynasty                    31	25	(--)
	oceanweavers                    31	25	(--)
	go go gagit                     31	25	(--)
	Myllypuro Hedgehogs             31	25	(--)
	Arm & Hammer                    31	25	(--)
	Legzryx                         31	25	(--)
	Chapman Chaps                   31	25	(--)
	Dean Martin                     31	25	(--)
	Cherry Bombers                  31	25	(--)
173.	Sluggo's Hosers                 30	25	(--)
	Anson Mak                       30	25	(--)
	Knights on a Power Play         30	25	(--)
176.	Canuck Force                    29	25	(--)
	butt ends                       29	25	(--)
	beam team                       29	25	(--)
	JUKURIT                         29	25	(--)
	Chapman Sticks                  29	25	(--)
	Ken De Cruyenaere               29	25	(--)
	gax goons                       29	25	(--)
	Tampere Salami                  29	25	(--)
	Sparky's Select                 29	25	(--)
185.	Hillside Raiders                28	25	(--)
	Eldoret Elephants               28	25	(--)
	Jane's World                    28	25	(--)
	the ALarmers                    28	25	(--)
189.	Rolaids Required                27	25	(--)
	Chip n Dale                     27	25	(--)
	Brian Bergman                   27	25	(--)
192.	Killer Kings                    26	25	(--)
	Montys Nords                    26	25	(--)
194.	Arsenal Maple Leafs             25	18	(--)
	Martin's Gag                    25	25	(--)
196.	Equipe Du Jour                  24	25	(--)
197.	lisa's luggers                  23	25	(--)

-- 
Andrew Scott                    | andrew@idacom.hp.com
HP IDACOM Telecom Operation     | (403) 462-0666 ext. 253",-1
"Just heard on the news that Mike Keenan formerly of the Blackhawks, Flyers,
and General of a Siberian Prison has just signed to coach the Rangers.  The
Rangers, who won the President's Cup last year have slipped just a bit at the
end of the season and are destined to finish last behind the lowly Flyers.
The Flyers' fans are going to be disappointed on Keenans decision, because
they were very interested in him.  Oh well.

Go CAPS!!!!!!!

Connin",5
"Boston                           2 2 0--4
Ottawa                           0 1 1--2
First period
     1, Boston, Roberts 5 (Juneau) 7:19.
     2, Boston, Wiemer 1(Juneau, Oates) 17:47.
Second period
     3, Boston, Neely 11 (Juneau, Murphy) 6:10.
     4, Boston, Hughes 5 (Richer, Kimble) 7:55.
     5, Ottawa, Archibald 9 (Rumble, Lamb) 11:37.
Third period
     6, Ottawa, Boschman 9 (Kudelski) 5:10.

Boston: 4    Power play: 2-0
Scorer            G    A   Pts
---------------  ---  ---  ---
Hughes             1    0    1
Juneau             0    3    3
Kimble             0    1    1
Murphy             0    1    1
Neely              1    0    1
Oates              0    1    1
Richer             0    1    1
Roberts            1    0    1
Wiemer             1    0    1

Ottawa: 2    Power play: 4-0
Scorer            G    A   Pts
---------------  ---  ---  ---
Archibald          1    0    1
Boschman           1    0    1
Kudelski           0    1    1
Lamb               0    1    1
Rumble             0    1    1

-----------------------------------------
Washington                       0 0 2--2
NY Rangers                       0 0 0--0
First period
     No scoring.
Second period
     No scoring.
Third period
     1, Washington, Bondra 36 (Pivonka, Cavallini) 6:54.
     2, Washington, Bondra 37 (Cote, Pivonka) 10:10.

Washington: 2    Power play: 2-0
Scorer            G    A   Pts
---------------  ---  ---  ---
Bondra             2    0    2
Cavallini          0    1    1
Cote               0    1    1
Pivonka            0    2    2

NY Rangers: 0    Power play: 1-0
No scoring

-----------------------------------------
NY Islanders                     2 1 1 0--4
Hartford                         2 1 1 1--5
First period
     1, NY Islanders, Ferraro 13 (Malakhov, King) 1:29.
     2, NY Islanders, Hogue 32 (Thomas, Turgeon) 1:57.
     3, Hartford, Yake 21(Poulin) 4:15.
     4, Hartford, Yake 22 (Nylander, Poulin) 16:44.
Second period
     5, Hartford, Verbeek 39 (Cassels, Weinrich) pp, 2:43.
     6, NY Islanders, Thomas 35 (King, Ferraro) 7:58.
Third period
     7, Hartford, Burt 5 (Sanderson, Cassels) 13:41.
     8, NY Islanders, Malakhov 14 (Hogue) 17:45.
Overtime
     9, Hartford, Janssens 12 (Poulin) 1:08.

Hartford: 5    Power play: 3-1
Scorer            G    A   Pts
---------------  ---  ---  ---
Burt               1    0    1
Cassels            0    2    2
Janssens           1    0    1
Nylander           0    1    1
Poulin             0    3    3
Sanderson          0    1    1
Verbeek            1    0    1
Weinrich           0    1    1
Yake               2    0    2

NY Islanders: 4    Power play: 3-0
Scorer            G    A   Pts
---------------  ---  ---  ---
Ferraro            1    1    2
Hogue              1    1    2
King               0    2    2
Malakhov           1    1    2
Thomas             1    1    2
Turgeon            0    1    1

-----------------------------------------
Pittsburgh                       2 3 1 0--6
New Jersey                       2 4 0 0--6
First period
     1, Pittsburgh, Daniels 5 (Needham, Tippett) 4:14.
     2, New Jersey, Lemieux 29 (Semak, Driver) 10:19.
     3, Pittsburgh, Stevens 55(Tocchet, Murphy) pp, 12:40.
     4, New Jersey, Zelepukin 22 (Driver, Niedermayer) 17:26.
Second period
     5, Pittsburgh, Lemieux 68 (Stevens, Tocchet) 1:42.
     6, New Jersey, Semak 36 (Lemieux, Zelepukin) 2:27.
     7, Pittsburgh, McEachern 28 (Jagr, Barrasso) 4:24.
     8, New Jersey, Stevens 12 (Guerin, Pellerin) 5:45.
     9, Pittsburgh, Lemieux 69 (unassisted) sh, 12:40.
     10, New Jersey, Richer 37 (Nicholls) 15:53.
     11, New Jersey, Lemieux 30 (Semak, Zelepukin) 17:40.
Third period
     12, Pittsburgh, Mullen 33 (Jagr, Lemieux) 18:54.
Overtime
     No scoring.

Pittsburgh: 6    Power play: 5-1   Special goals:  pp: 1  sh: 1  Total: 2
Scorer            G    A   Pts
---------------  ---  ---  ---
Barrasso           0    1    1
Daniels            1    0    1
Jagr               0    2    2
Lemieux            2    1    3
McEachern          1    0    1
Mullen             1    0    1
Murphy             0    1    1
Needham            0    1    1
Stevens            1    1    2
Tippett            0    1    1
Tocchet            0    2    2

New Jersey: 6    Power play: 3-0
Scorer            G    A   Pts
---------------  ---  ---  ---
Driver             0    2    2
Guerin             0    1    1
Lemieux            2    1    3
Nicholls           0    1    1
Niedermayer        0    1    1
Pellerin           0    1    1
Richer             1    0    1
Semak              1    2    3
Stevens            1    0    1
Zelepukin          1    2    3
",-1
"Picture if you will, the Habs going into the last couple minutes of the
game, leading 2-0.  The Nords get a power play, pull Hextall, and get
a goal.  Bout a minute later, they get another one.  Then they win in
overtime......

A bad dream?.......

How's that Red Hot Chili Peppers song go...
""Give it away,give it away, give it away now....""

Oh well.  Suppose I can always watch the Leafs win tomorrow night....
   (smilies.....)

Am I the only female hockey fan in the world?",-1
